Trip_ID,Employee_ID,Travel_Date,Type,Origin,Destination,Distance_km,Class,Amount_USD
TRP-001,EMP-456,2024-01-15,Flight,SFO,JFK,4162,Economy,450.00
TRP-001,EMP-456,2024-01-15,Hotel,New York,,,,,280.00
TRP-002,EMP-789,2024-01-16,Flight,LAX,ORD,2807,Business,890.00
TRP-002,EMP-789,2024-01-17,Car Rental,Chicago,,,240,,165.00
TRP-003,EMP-123,2024-02-05,Flight,BOS,SFO,4345,Economy,380.00
TRP-004,EMP-234,2024-02-10,Flight,JFK,LAX,3983,Business,1250.00
TRP-004,EMP-234,2024-02-10,Hotel,Los Angeles,,,,,195.00
TRP-005,EMP-567,2024-03-01,Flight,ORD,BOS,1391,Economy,220.00
TRP-006,EMP-890,2024-03-15,Flight,SFO,ORD,2960,Business,780.00
TRP-006,EMP-890,2024-03-16,Hotel,Chicago,,,,,210.00
TRP-006,EMP-890,2024-03-18,Flight,ORD,SFO,2960,Economy,340.00
